league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Bundesliga,2223,Augsburg,Aaron Zehnter,GER,MF,17,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,André Hahn,GER,"MF,FW",31,1990,7,4,391,4.3,2,0,2,2,0,0,1,0,0.46,0.0,0.46,0.46,0.46
Bundesliga,2223,Augsburg,Arne Engels,BEL,MF,18,2003,18,18,1440,16.0,0,3,3,0,0,0,5,0,0.0,0.19,0.19,0.0,0.19
Bundesliga,2223,Augsburg,Arne Maier,GER,MF,23,1999,30,24,1960,21.8,5,1,6,5,0,0,3,0,0.23,0.05,0.28,0.23,0.28
Bundesliga,2223,Augsburg,Carlos Gruezo,ECU,MF,27,1995,13,12,961,10.7,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Daniel Caligiuri,ITA,MF,34,1988,13,2,290,3.2,1,0,1,1,0,0,1,0,0.31,0.0,0.31,0.31,0.31
Bundesliga,2223,Augsburg,David Čolina,CRO,"DF,MF",22,2000,7,0,166,1.8,1,0,1,1,0,0,0,0,0.54,0.0,0.54,0.54,0.54
Bundesliga,2223,Augsburg,Dion Drena Beljo,CRO,FW,20,2002,18,16,1128,12.5,3,2,5,3,0,0,2,0,0.24,0.16,0.4,0.24,0.4
Bundesliga,2223,Augsburg,Elvis Rexhbeçaj,KVX,MF,24,1997,31,30,2524,28.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Ermedin Demirović,BIH,"FW,MF",24,1998,30,30,2366,26.3,8,4,12,7,1,1,7,1,0.3,0.15,0.46,0.27,0.42
Bundesliga,2223,Augsburg,Florian Niederlechner,GER,"FW,MF",31,1990,14,10,910,10.1,4,1,5,4,0,0,1,0,0.4,0.1,0.49,0.4,0.49
Bundesliga,2223,Augsburg,Frederik Winther,DEN,DF,21,2001,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0,1.0
Bundesliga,2223,Augsburg,Fredrik Jensen,FIN,"FW,MF",24,1997,20,8,924,10.3,2,1,3,2,0,0,1,0,0.19,0.1,0.29,0.19,0.29
Bundesliga,2223,Augsburg,Iago,BRA,"DF,MF",25,1997,22,19,1600,17.8,0,2,2,0,0,0,6,1,0.0,0.11,0.11,0.0,0.11
Bundesliga,2223,Augsburg,Irvin Cardona,MLT,"FW,MF",24,1997,10,0,318,3.5,1,0,1,1,0,0,2,0,0.28,0.0,0.28,0.28,0.28
Bundesliga,2223,Augsburg,Jeffrey Gouweleeuw,NED,DF,31,1991,32,32,2795,31.1,0,1,1,0,0,0,12,0,0.0,0.03,0.03,0.0,0.03
Bundesliga,2223,Augsburg,Julian Baumgartlinger,AUT,MF,34,1988,16,3,554,6.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Kelvin Yeboah,ITA,FW,22,2000,13,3,353,3.9,1,1,2,1,0,0,0,0,0.25,0.25,0.51,0.25,0.51
Bundesliga,2223,Augsburg,Lukas Petkov,BUL,"FW,MF",21,2000,7,0,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Mads Pedersen,DEN,"DF,MF",25,1996,28,20,1838,20.4,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Maximilian Bauer,GER,DF,22,2000,27,20,1846,20.5,0,1,1,0,0,0,8,0,0.0,0.05,0.05,0.0,0.05
Bundesliga,2223,Augsburg,Mergim Berisha,GER,FW,24,1998,23,20,1679,18.7,9,4,13,6,3,4,9,1,0.48,0.21,0.7,0.32,0.54
Bundesliga,2223,Augsburg,Nathanael Mbuku,COD,MF,20,2002,2,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Niklas Dorsch,GER,MF,24,1998,11,5,483,5.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Noah Joel Sarenren Bazee,NGA,"FW,MF",25,1996,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Ohis Felix Uduokhai,GER,DF,24,1997,19,16,1450,16.1,0,1,1,0,0,0,3,1,0.0,0.06,0.06,0.0,0.06
Bundesliga,2223,Augsburg,Rafał Gikiewicz,POL,GK,34,1987,23,23,2070,23.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Raphael Framberger,GER,"MF,DF",26,1995,3,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Reece Oxford,ENG,DF,23,1998,3,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Renato Veiga,POR,DF,19,2003,13,7,639,7.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Ricardo Pepi,USA,FW,19,2003,4,1,95,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Augsburg,Robert Gumny,POL,DF,24,1998,29,23,2015,22.4,1,2,3,1,0,0,5,1,0.04,0.09,0.13,0.04,0.13
Bundesliga,2223,Augsburg,Ruben Vargas,SUI,MF,23,1998,23,13,1130,12.6,3,4,7,3,0,0,4,0,0.24,0.32,0.56,0.24,0.56
Bundesliga,2223,Augsburg,Tomáš Koubek,CZE,GK,29,1992,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Alphonso Davies,CAN,"DF,MF",21,2000,26,24,2042,22.7,1,4,5,1,0,0,0,0,0.04,0.18,0.22,0.04,0.22
Bundesliga,2223,Bayern Munich,Arijon Ibrahimović,GER,MF,16,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Benjamin Pavard,FRA,DF,26,1996,30,27,2431,27.0,4,1,5,4,0,0,6,0,0.15,0.04,0.19,0.15,0.19
Bundesliga,2223,Bayern Munich,Bouna Sarr,SEN,"DF,MF",30,1992,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Daley Blind,NED,DF,32,1990,4,1,134,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Dayot Upamecano,FRA,DF,23,1998,29,27,2348,26.1,0,1,1,0,0,0,6,1,0.0,0.04,0.04,0.0,0.04
Bundesliga,2223,Bayern Munich,Eric Maxim Choupo-Moting,CMR,FW,33,1989,19,14,1112,12.4,10,2,12,10,0,1,0,0,0.81,0.16,0.97,0.81,0.97
Bundesliga,2223,Bayern Munich,Gabriel Vidovic,CRO,MF,18,2003,1,0,19,0.2,0,1,1,0,0,0,0,0,0.0,4.74,4.74,0.0,4.74
Bundesliga,2223,Bayern Munich,Jamal Musiala,GER,MF,19,2003,33,26,2198,24.4,12,10,22,12,0,0,1,0,0.49,0.41,0.9,0.49,0.9
Bundesliga,2223,Bayern Munich,Joshua Kimmich,GER,MF,27,1995,33,32,2809,31.2,5,6,11,4,1,1,6,1,0.16,0.19,0.35,0.13,0.32
Bundesliga,2223,Bayern Munich,Josip Stanišić,CRO,DF,22,2000,14,4,579,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,João Cancelo,POR,"DF,MF",28,1994,15,11,1012,11.2,1,4,5,1,0,0,3,0,0.09,0.36,0.44,0.09,0.44
Bundesliga,2223,Bayern Munich,Kingsley Coman,FRA,MF,26,1996,24,16,1409,15.7,8,5,13,8,0,0,2,1,0.51,0.32,0.83,0.51,0.83
Bundesliga,2223,Bayern Munich,Leon Goretzka,GER,MF,27,1995,27,22,1728,19.2,3,2,5,3,0,0,5,0,0.16,0.1,0.26,0.16,0.26
Bundesliga,2223,Bayern Munich,Leroy Sané,GER,MF,26,1996,32,20,2010,22.3,8,7,15,8,0,0,4,0,0.36,0.31,0.67,0.36,0.67
Bundesliga,2223,Bayern Munich,Lucas Hernández,FRA,DF,26,1996,7,6,476,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Manuel Neuer,GER,GK,36,1986,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Marcel Sabitzer,AUT,MF,28,1994,15,7,628,7.0,1,1,2,1,0,0,2,0,0.14,0.14,0.29,0.14,0.29
Bundesliga,2223,Bayern Munich,Mathys Tel,FRA,MF,17,2005,22,1,417,4.6,5,0,5,5,0,0,2,0,1.08,0.0,1.08,1.08,1.08
Bundesliga,2223,Bayern Munich,Matthijs de Ligt,NED,DF,22,1999,31,27,2403,26.7,3,1,4,3,0,0,4,0,0.11,0.04,0.15,0.11,0.15
Bundesliga,2223,Bayern Munich,Noussair Mazraoui,MAR,DF,24,1997,19,11,1075,11.9,1,4,5,1,0,0,0,0,0.08,0.33,0.42,0.08,0.42
Bundesliga,2223,Bayern Munich,Paul Wanner,AUT,MF,16,2005,2,0,25,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Ryan Gravenberch,NED,MF,20,2002,24,3,576,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Bundesliga,2223,Bayern Munich,Sadio Mané,SEN,"MF,FW",30,1992,25,18,1425,15.8,7,5,12,6,1,2,2,0,0.44,0.32,0.76,0.38,0.69
Bundesliga,2223,Bayern Munich,Serge Gnabry,GER,"MF,FW",27,1995,34,22,1941,21.6,14,5,19,13,1,1,0,0,0.65,0.23,0.88,0.6,0.83
