league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Ligue1,2223,Ajaccio,Anthony Khelifa,ALG,DF,16,2005,2,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Ben Hamed Touré,CIV,FW,18,2003,4,2,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Benjamin Leroy,FRA,GK,33,1989,32,32,2798,31.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Bevic Moussiti-Oko,CGO,FW,27,1995,17,7,698,7.8,1,0,1,1,0,0,1,0,0.13,0.0,0.13,0.13,0.13
Ligue1,2223,Ajaccio,Clément Vidal,FRA,DF,22,2000,26,21,1901,21.1,1,0,1,1,0,0,5,1,0.05,0.0,0.05,0.05,0.05
Ligue1,2223,Ajaccio,Cyrille Bayala,BFA,MF,26,1996,33,25,2009,22.3,1,1,2,1,0,0,3,1,0.04,0.04,0.09,0.04,0.09
Ligue1,2223,Ajaccio,Cédric Avinel,GLP,DF,35,1986,24,19,1794,19.9,1,0,1,1,0,0,2,1,0.05,0.0,0.05,0.05,0.05
Ligue1,2223,Ajaccio,Fernand Mayembo,CGO,DF,26,1996,11,8,707,7.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Florian Chabrolle,FRA,MF,24,1998,7,3,329,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,François-Joseph Sollacaro,FRA,GK,28,1994,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Ghjuvanni Quilichini,FRA,GK,19,2002,1,0,82,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Ismael Diallo,CIV,DF,25,1997,28,25,2176,24.2,0,0,0,0,0,0,9,1,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Ivane Chegra,FRA,MF,18,2004,6,1,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Kevin Spadanuda,SUI,MF,25,1997,22,13,1063,11.8,0,1,1,0,0,0,3,0,0.0,0.08,0.08,0.0,0.08
Ligue1,2223,Ajaccio,Kouamé Botué,BFA,FW,19,2002,8,2,229,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Mathieu Coutadeur,FRA,MF,36,1986,27,22,1947,21.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Mehdi Puch-Herrantz,FRA,MF,18,2004,4,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Mickaël Alphonse,GLP,DF,33,1989,26,14,1361,15.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0
Ligue1,2223,Ajaccio,Mickaël Barreto,FRA,MF,31,1991,20,15,1325,14.7,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14
Ligue1,2223,Ajaccio,Mohamed Youssouf,COM,DF,34,1988,30,27,2459,27.3,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
